id,name,group_id
723,Außenborder,100
724,BH-Ersatzbügel,101
725,BH-Push-up-Einlagen,102
726,BH-Einlagen,102
727,Set: Bustier,103
728,Set: Push-up-BH,103
729,Set: Schalen-BH,103
730,Set: Achselhemd,103
731,Set: Schlaf-BH,103
732,Set: Dekolleté-BH,103
733,Set: Halbschalen-BH,103
734,Set: Teenie-BH,103
735,Set: Minimizer-BH,103
736,Set: Bügel-BH,103
737,Set: Corsage,103
738,Set: Achseltop,103
739,Set: Rückenfreier BH,103
740,Set: Achselshirt,103
741,Set: Ouvert-BH,103
742,Set: Gemoldeter BH,103
743,Set: Lang-BH,103
744,Set: Unterhemd,103
745,Set: Still-BH,103
746,Set: Triangel-BH,103
747,Set: Entlastungs-BH,103
748,Set: T-Shirt-BH,103
749,Set: Sport-BH,103
750,Set: Neckholder-BH,103
751,Set: Multiway-BH,103
752,Set: Dirndl-BH,103
753,Set: Schwangerschafts-BH,103
754,Set: Longline-BH,103
755,Set: Bralette-BH,103
756,Set: Stick-on-BH,103
757,Set: Soft-BH,103
758,Set: Fullcup-BH,103
759,Set: Bügelloser BH,103
760,Set: Klebe-BH,103
761,Set: Sport-Bustier,103
762,Set: High-Apex-BH,103
763,Set: Tanktop,103
764,BH-Träger,104
765,BH-Nackenträger,104
766,BH-Träger-Halter,105
767,BH-Träger-Clips,105
768,BH-Trägerpolster,106
769,BH-Verlängerung,107
770,BH-Verlängerung für tiefen Rücken,107
771,High-Apex-BH,108
772,Longline-BH,108
773,T-Shirt-BH,108
774,Sport-Push-up-BH,108
775,Halbschalen-BH,108
776,Außenträger-BH,108
777,Ouvert-BH,108
778,Gemoldeter BH,108
779,Mieder-BH,108
780,Bügelloser BH,108
781,Push-up-BH,108
782,Lang-BH,108
783,Dirndl-BH,108
784,Schalen-BH,108
785,Stick-on-BH,108
786,Minimizer-BH,108
787,Bralette-BH,108
788,Dekolleté-BH,108
789,Multiway-BH,108
790,Neckholder-BH,108
791,Bustier,108
792,Bralette,108
793,Büstenhebe,108
794,Sport-BH,108
795,Schwangerschafts-BH,108
796,Teenie-BH,108
797,Soft-BH,108
798,Bügel-BH,108
799,Fullcup-BH,108
800,Triangel-BH,108
801,Schlaf-BH,108
802,Bandeau-BH,108
803,Rückenfreier BH,108
804,Klebe-BH,108
805,Sport-Bustier,108
806,Entlastungs-BH,108
807,BH-Hemd,108
808,Schalen-BH-Hemd,108
809,Still-BH,108
810,Balconette-BH,108
811,Badesitz,109
812,Baby-Reisebett,110
813,Stubenbett,110
814,Komplettbett,110
815,Beistellbett,110
816,Babybett,110
817,Babyflaschenwärmer,111
818,Flaschenwärmer,111
819,Massageölwärmer,111
820,Babyphone,112
821,Video-Babyphone,112
822,Tragetuch,113
823,Babytrage,113
824,Rückentrage,113
825,Bauchtrage,113
826,Baby-Wiegetuch,113
827,Babywippe,114
828,Babyschaukel,114
829,Wippgestell,114
830,Bachlaufschale,115
831,Bachlauf,115
832,Waffelplatten,116
833,Grillschale,116
834,Paniniplatten,116
835,Pizzastein,116
836,Aromaplanke,116
837,Herzwaffelplatten,116
838,Fettpfanne,116
839,Belgische Waffelplatten,116
840,Grillguthalter,116
841,Backstein,116
842,Baguetteblech,116
843,Kombirost,116
844,Pizzaofen-Grillaufsatz,116
845,Backofenrost,116
846,Backblech,116
847,Backrost,116
848,Grillrosteinsatz,116
849,Grillplattenaufsatz,116
850,Hähnchenbräter,116
851,Pancakeplatten,116
852,Donutplatten,116
853,Ofenschale,116
854,Muffinplatten,116
855,Grillpfanneneinsatz,116
856,Pizzablech,116
857,Kuchenblech,116
858,Pfannkuchenplatten,116
859,Eisplatte,116
860,Campingbackofen,116
861,Grill-Aufsatzofen,116
862,Airfryer-Toasthalter,116
863,Airfry-Backblech,116
864,Ausrollmatte,117
865,Backmatte,117
866,Käse-Abtropfmatte,117
867,Pyrolyse Backofen,118
868,Backofen,118
869,Einbaubackofen,118
870,Backofen mit Mikrowelle,118
871,Dampfbackofen,118
872,Badaccessoire-Set,119
873,Badeanzug,120
874,Badekleid,120
875,Schwimmanzug,120
876,Umstandsbadeanzug,120
877,Monokini,120
878,Perioden-Badeanzug,120
879,Burkini,120
880,Badebottich,121
881,Highwaist-Bikini-Hose,122
882,Badeshorts,122
883,Badehose,122
884,Bikini-Hose,122
885,Badeslip,122
886,Bade-Capri,122
887,Schwimmwindel,122
888,Bade-Rock,122
889,Boxer-Badehose,122
890,Bikini-Hotpants,122
891,Badepants,122
892,Schwimmleggings,122
893,Perioden-Bikini-Slip,122
894,Duschhaube,123
895,Badekappe,123
896,Schwimm-Hijab,123
897,Badematte,124
898,Duschmatte,124
899,Saunabodenrost,124
900,Hotelmatte,124
901,WC-Deckelbezug,124
902,Schaum-Badematte,124
903,WC-Vorleger,124
904,Einbauwanne,125
905,Rundwanne,125
906,Badewanne,125
907,Eckwanne,125
908,Babybadewanne,125
909,Großraumwanne,125
910,Whirlpool-Badewanne,125
911,Badewannenbrücke,126
912,Badewannentablett,126
913,Badewannenablage,126
914,Badewannensitz,127
915,Badewannenbrett,127
916,Whirlpoolsitz,127
917,aufblasbarer Badewannensitz,127
918,Badewannendrehsitz,127
919,Badewanneneinhängesitz,127
920,Minibagger,128
921,Microbagger,128
922,Half Ball,129
923,Wippbrett,129
924,Feder-Einschubelement,129
925,Koordinations-Trainingssystem,129
926,Federbrett,129
927,Plankpad,129
928,Balancetrainer,129
929,Balancekreisel,129
930,Physiostation,129
931,Balanceboard,129
932,Stabilisations-Therapiegerät,129
933,Blumenkastenhalter,130
934,Tischtennis-Ballmaschine,131
935,Tennis-Ballmaschine,131
936,Basketball-Rückgabe,132
937,Ballschale,133
938,Ballschleuder,134
939,Hunde-Ballschleuder,134
940,Basketballständer,135
941,Basketballkorb,135
942,Ballwand,136
943,Rebounder,136
944,Kniebandage,137
945,Fußbandage,137
946,Handgelenkbandage,137
947,Schulterbandage,137
948,Sprunggelenkbandage,137
949,Nachtbandage,137
950,Garten-Aktiv-Stützgürtel,137
