id,group_id,name,type,description,multi_value,relevance,unit
84239,1724,Informationen zur Datennutzung (nach EU Data Act),STRING,Hinweis zur Daten Nutzung und Weitergabe an Dritte und Möglichkeit der Einsicht,f,LOW,""
84240,1724,Kurzlink Blauer Engel,STRING,"Die Nutzung des BLAUER ENGEL Logos ist nur in Verbindung mit einem Kurzlink zulässig, der die BLAUER ENGEL Internetadresse und die Nummer der Vergabekriterien (UZ-Nummer) anzeigt.",f,LOW,""
84241,1724,Nachhaltigkeitssiegel,STRING,Die Anzeige der Siegel auf Otto.de erfolgt erst nach erfolgreicher Validierung der Zertifizierung. Alle Informationen dazu finden Sie im Helpdesk.,t,LOW,""
84242,1724,Anzahl Teile,INTEGER,Anzahl Teile,f,LOW,St.
84243,1724,Besondere Merkmale,STRING,Bitte beachten Sie die Zeichenbegrenzung von maximal 70 Zeichen für dieses Merkmal.,f,HIGH,""
84244,1724,Serie,STRING,"Produkte mit demselben Eintrag in “Serie” und “Marke”, werden unter ""Mehr aus der Serie"" angezeigt. Des Weiteren wird der Serienname im Filter “Serie” aufgeführt. Wenn es sich nicht um den offiziellen Seriennamen handelt, kann das Merkmal ""Serie Technischer Name"" gepflegt werden, damit die Produkte unter ""Mehr aus der Serie"" angezeigt werden.",f,HIGH,""
84245,1724,Set-Info,STRING,Zur Anzeige in der Kurzbezeichnung. Bitte kurz halten!,f,HIGH,""
84246,1724,Set-Typ,STRING,Set-Typ,f,HIGH,""
84247,1724,Modellbezeichnung,STRING,Relevant für EEK,f,LOW,""
84248,1725,Anzahl Teile,INTEGER,Anzahl Teile,f,LOW,tlg.
84249,1725,Besondere Merkmale,STRING,Bitte beachten Sie die Zeichenbegrenzung von maximal 70 Zeichen für dieses Merkmal.,f,HIGH,""
84250,1725,Set-Typ,STRING,"Beachten Sie die Unterscheidung von ""Set"" und ""Packung""! Ein Set besteht aus mehreren UNTERSCHIEDLICHEN Produkttypen (z.B. Bezug, Vorleger und Matte), eine Packung besteht aus mehreren GLEICHEN Produkttypen (z.B. 4x Vorleger).",f,LOW,""
84251,1725,Farbe,STRING,Farbe,f,HIGH,""
84252,1725,Ausstattung,STRING,Ausstattung,t,LOW,""
84253,1725,Eigenschaften,STRING,"",t,HIGH,""
84254,1725,Fassungsvermögen,FLOAT,Bei Aufnahme von Äpfeln-bzw. Nüssen etc. die Kapazität in Litern,f,HIGH,l
84255,1725,Art Griffe,STRING,"",t,LOW,""
84256,1725,Details Beschichtung,STRING,"",f,LOW,""
84257,1725,Funktionen Beschichtung,STRING,"",t,HIGH,""
84258,1725,Hitzebeständigkeit,INTEGER,"",f,LOW,°C
84259,1725,Inhalt,FLOAT,"Angabe der Nettofüllmenge. Relevante Information für das Lager, die Paketkennzeichnung und den Transport.",f,LOW,kg
84260,1725,Modelljahr,INTEGER,"",f,LOW,""
84261,1725,Pflegehinweise,STRING,Pflegehinweise,t,HIGH,""
84262,1725,Herdart,STRING,"",t,HIGH,""
84263,1725,Serie,STRING,"Produkte mit demselben Eintrag in “Serie” und “Marke”, werden unter ""Mehr aus der Serie"" angezeigt. Des Weiteren wird der Serienname im Filter “Serie” aufgeführt. Wenn es sich nicht um den offiziellen Seriennamen handelt, kann das Merkmal ""Serie Technischer Name"" gepflegt werden, damit die Produkte unter ""Mehr aus der Serie"" angezeigt werden.",f,HIGH,""
84264,1725,Set-Info,STRING,Zur Anzeige in der Kurzbezeichnung. Bitte kurz halten!,f,LOW,""
84265,1725,Modellbezeichnung,STRING,Relevant für EEK,f,LOW,""
84266,1725,Durchmesser,FLOAT,"",f,HIGH,cm
84267,1725,Gewicht,FLOAT,Gewicht,t,LOW,kg
84268,1725,Höhe,FLOAT,Höhe,f,LOW,cm
84269,1725,Breite,FLOAT,Breite,f,LOW,cm
84270,1725,Stärke Boden,FLOAT,"",t,LOW,cm
84271,1725,Stärke Wand,FLOAT,"",f,LOW,mm
84272,1725,Länge,FLOAT,Länge,f,LOW,cm
84273,1725,Material Beschichtung,STRING,"",f,LOW,""
84274,1725,Material Griffe,STRING,"",f,MEDIUM,""
84275,1725,Material,STRING,Material,f,HIGH,""
84276,1725,Grundfarbe,STRING,Grundfarbe,f,HIGH,""
