id,group_id,attribute_id
1188,148,6714
1189,148,6716
1190,149,6729
1191,149,6733
1192,149,6735
1193,149,6753
1194,149,6756
1195,149,6757
1196,149,6762
1197,149,6763
1198,150,6785
1199,150,6789
1200,150,6792
1201,150,6808
1202,150,6840
1203,150,6844
1204,151,6851
1205,151,6858
1206,151,6859
1207,151,6861
1208,151,6869
1209,151,6890
1210,151,6912
1211,151,6915
1212,152,6922
1213,152,6923
1214,152,6926
1215,152,6932
1216,152,6933
1217,152,6934
1218,152,6935
1219,152,6937
1220,152,6940
1221,153,6959
1222,153,6961
1223,153,6968
1224,153,6979
1225,153,6980
1226,153,6981
1227,153,6982
1228,153,6983
1229,154,7002
1230,154,7007
1231,154,7013
1232,154,7014
1233,154,7017
1234,154,7018
1235,154,7019
1236,155,7042
1237,155,7049
1238,155,7050
1239,155,7051
1240,156,7074
1241,156,7080
1242,156,7081
1243,156,7085
1244,156,7086
1245,156,7087
1246,156,7092
1247,157,7121
1248,157,7122
1249,157,7123
1250,157,7134
1251,157,7135
1252,158,7149
1253,158,7154
1254,158,7155
1255,158,7156
1256,158,7157
1257,158,7159
1258,158,7160
1259,159,7218
1260,159,7224
1261,159,7230
1262,159,7231
1263,159,7232
1264,159,7234
1265,159,7235
1266,159,7253
1267,160,7261
1268,160,7268
1269,160,7270
1270,160,7271
1271,160,7272
1272,160,7274
1273,160,7285
1274,160,7299
1275,160,7300
1276,161,7310
1277,161,7318
1278,161,7319
1279,161,7320
1280,161,7325
1281,161,7327
1282,162,7340
1283,162,7348
1284,162,7350
1285,162,7353
1286,162,7356
1287,162,7359
1288,162,7360
1289,162,7361
1290,162,7362
1291,162,7363
1292,162,7365
1293,162,7366
1294,162,7368
1295,162,7387
1296,162,7390
1297,162,7396
1298,163,7426
1299,163,7437
1300,163,7438
1301,163,7439
1302,164,7443
1303,164,7444
1304,164,7446
1305,164,7447
1306,164,7448
1307,164,7449
1308,164,7452
1309,165,7471
1310,165,7472
1311,165,7475
1312,165,7481
1313,165,7482
1314,165,7483
1315,165,7484
1316,165,7486
1317,165,7490
1318,166,7518
1319,166,7524
1320,167,7549
1321,167,7554
1322,167,7555
1323,167,7556
1324,167,7561
1325,167,7562
1326,167,7563
1327,167,7564
1328,167,7577
1329,167,7578
1330,168,7595
1331,168,7598
1332,168,7609
1333,168,7610
1334,168,7639
1335,169,7644
1336,169,7645
1337,169,7648
1338,169,7654
1339,169,7655
1340,169,7656
1341,169,7658
1342,170,7668
1343,170,7671
1344,170,7672
1345,170,7676
1346,170,7677
1347,170,7679
1348,170,7680
1349,170,7687
1350,170,7688
1351,170,7698
1352,171,7708
1353,171,7711
1354,171,7717
1355,171,7718
1356,171,7719
1357,171,7724
1358,171,7725
1359,172,7741
1360,172,7748
1361,172,7763
1362,172,7768
1363,172,7769
1364,172,7773
1365,172,7774
1366,172,7776
1367,172,7777
1368,172,7778
1369,173,7801
1370,173,7807
1371,173,7815
1372,173,7818
1373,173,7819
1374,173,7820
1375,173,7824
1376,173,7825
1377,173,7831
1378,173,7832
1379,173,7839
1380,173,7840
1381,174,7861
1382,174,7880
1383,174,7881
1384,174,7882
1385,174,7884
1386,174,7885
1387,174,7903
1388,175,7911
1389,175,7912
1390,175,7918
1391,175,7919
1392,175,7920
1393,175,7921
1394,175,7927
1395,175,7929
1396,175,7930
1397,175,7932
1398,175,7933
1399,175,7934
1400,175,7935
1401,175,7936
1402,175,7938
1403,175,7939
1404,176,7973
1405,176,7974
1406,176,7976
1407,176,7977
1408,176,7978
1409,176,7979
1410,176,7987
1411,177,7993
1412,177,7996
1413,177,7999
1414,177,8002
1415,177,8010
1416,177,8015
1417,177,8016
1418,177,8018
1419,177,8019
1420,177,8020
1421,177,8021
1422,178,8037
1423,178,8041
1424,178,8042
1425,178,8044
1426,178,8045
1427,178,8046
1428,178,8047
1429,178,8050
1430,178,8051
1431,178,8054
1432,179,8088
1433,179,8089
1434,179,8090
1435,179,8103
1436,179,8104
1437,180,8120
1438,180,8124
1439,180,8126
1440,180,8138
1441,180,8139
1442,180,8141
1443,180,8143
1444,180,8145
1445,180,8146
1446,180,8148
1447,180,8165
1448,180,8168
1449,180,8172
1450,180,8173
1451,180,8176
1452,180,8182
1453,181,8189
1454,181,8190
1455,181,8191
1456,181,8194
1457,181,8195
1458,181,8196
1459,181,8198
1460,181,8201
1461,181,8213
1462,182,8220
1463,182,8229
1464,182,8235
1465,182,8240
1466,182,8241
1467,182,8253
1468,182,8258
1469,182,8259
1470,182,8262
